Topic Number for time period 0,"Word, Probability"
0,"('grund', 0.008449277539260381)","('erford', 0.007995749333804779)","('jeweil', 0.005363268778237833)","('bezug', 0.005130573582274527)","('verfahr', 0.0047402288173886715)","('behoerd', 0.004143476758747846)","('beschwerd', 0.003979316142591052)","('erteilt', 0.00394615906017197)","('interess', 0.003861039211207259)","('betroff', 0.003780603553645049)","('zustand', 0.003777477314095143)","('gestellt', 0.003767195158305049)","('dadurch', 0.003652343508507512)","('etwa', 0.0035406423373394967)","('genehm', 0.003458838302609498)","('diesbezug', 0.003390683644134133)","('festgestellt', 0.0033048841958612904)","('besteh', 0.0031617031915355297)","('zweck', 0.0030399697170790285)","('betreff', 0.0029965486924552046)"
1,"('veranstalt', 0.006455119378005728)","('rahm', 0.00540363534659443)","('stadt', 0.005116474859032909)","('projekt', 0.005094215562635337)","('information', 0.004849120143837553)","('statt', 0.004448420426369659)","('thema', 0.004396354276140627)","('fand', 0.004355865111181354)","('angebot', 0.004255459944300038)","('rund', 0.0038315155929797996)","('aktivitaet', 0.0036781660298632344)","('international', 0.003645598350565715)","('zusammenarbeit', 0.003392440079547784)","('mitarbeiterin', 0.0033707553524378775)","('bereich', 0.0033061192014621913)","('them', 0.0032936067196394996)","('schwerpunkt', 0.003284780840547577)","('gemeinsam', 0.0031856511596601448)","('zahlreich', 0.0031645435385356606)","('veranstaltet', 0.003085141933102018)"
2,"('sport', 0.009666520074032871)","('sportanlag', 0.007451552930202501)","('sportplatz', 0.007360193809283893)","('sporthall', 0.0067219109008554495)","('verein', 0.006410051373443044)","('subvention', 0.006136072626860833)","('turn', 0.005686983097728829)","('spielplatz', 0.005115896829707675)","('jugend', 0.004888221667065159)","('schwimm', 0.004804375761438539)","('jugendspielplatz', 0.004710062627717211)","('durchfuehr', 0.004683153867942876)","('schnee', 0.004546513785768056)","('verwaltet', 0.004500267146688137)","('erricht', 0.004344105104720141)","('sportverein', 0.004294990482991255)","('fachverba', 0.004058556311571544)","('betrieb', 0.004040672689436502)","('sportstaett', 0.00401931096707572)","('anlag', 0.0039189685572905515)"
3,"('foto', 0.03744501429746763)","('pid', 0.017729452671409438)","('museum', 0.016458300794886256)","('histor', 0.015877474402404414)","('votava', 0.014919853967136994)","('muse', 0.010593237486761923)","('stadt', 0.010509839191014319)","('ausstell', 0.008580508939596086)","('jahrhundert', 0.007603772930942381)","('sammlung', 0.0066369014334513605)","('roemisch', 0.006423858045070929)","('eroeffn', 0.006129949583553236)","('leihgab', 0.005253366680525611)","('haus', 0.004878079718770732)","('schloss', 0.004865259640000006)","('hermesvilla', 0.00481324188395138)","('bild', 0.0046562540626650245)","('landesbildstell', 0.004427129610654026)","('archaeolog', 0.004310796306766975)","('ausgrab', 0.004297926100149374)"
4,"('maerkt', 0.01585918741362205)","('grossmarkt', 0.012715531564218818)","('marktamt', 0.011731661589797267)","('wieninzersdorf', 0.009488034117742603)","('verwaltungsdien', 0.00939822839666887)","('markt', 0.008814710451253911)","('marktordn', 0.008633939276793262)","('technisch', 0.008419832409328523)","('lehrling', 0.007282045158104039)","('obst', 0.007216356225765675)","('dienststell', 0.006255972677000187)","('zufuhr', 0.006214915669732007)","('gelegenheitsmaerkt', 0.006057484993317533)","('fleisch', 0.005422004696808434)","('fachbeamt', 0.00536201112272023)","('bedienstet', 0.00527228945142507)","('lebensmittel', 0.005163134697177816)","('christbaum', 0.004981609998371407)","('viktuali', 0.004824451227300161)","('gemues', 0.0047656682751814556)"
5,"('ziel', 0.005723038630348387)","('wichtig', 0.004685309043162694)","('entwickl', 0.004333377968342478)","('zeigt', 0.003661246027101981)","('prozent', 0.0036348934073597654)","('wenig', 0.0035814862957640036)","('bereich', 0.0034087549435374374)","('ergebnis', 0.0033235861186795596)","('erhalt', 0.003284624053603526)","('deutlich', 0.0032449582683723647)","('hoh', 0.0031892905476661685)","('positiv', 0.0031232740539995398)","('unterschied', 0.003085851691415884)","('situation', 0.003052091846536679)","('bedeut', 0.0030401595899092427)","('gering', 0.0030174555306943782)","('stark', 0.002928196132713008)","('erfahr', 0.002896349134533795)","('gibt', 0.002873002336887084)","('stellt', 0.0028420029277527142)"
6,"('produkt', 0.008764783539461455)","('preis', 0.008301695602443511)","('versorg', 0.006143388529487966)","('stueck', 0.005983531164806445)","('zentrallag', 0.00591930536236328)","('meng', 0.005914324099984265)","('lebensmittel', 0.005155295545464852)","('gemues', 0.004910238214873784)","('stadt', 0.004816622552496383)","('wein', 0.00471682164728171)","('bearbeitet', 0.004636042090839475)","('versorgt', 0.004347248224807594)","('holz', 0.004337271718167458)","('alt', 0.0043199970676579685)","('tischlerei', 0.004192678686267548)","('unehe', 0.0041753062656750455)","('warengrupp', 0.004088786395065413)","('werkstaettenbetrieb', 0.004083711178642656)","('moebel', 0.0040360153110457885)","('quellenschutzforst', 0.0038683774864427672)"
7,"('ausgab', 0.01035618470675252)","('einnahm', 0.0101490633758871)","('million', 0.009267307832648631)","('rund', 0.009203101635555683)","('prozent', 0.008791722233375397)","('schilling', 0.008312076256017337)","('hoeh', 0.008226926498389067)","('mio', 0.005782549766640715)","('betrag', 0.005548018525617647)","('ausgegeb', 0.005047090010475924)","('stadtwerk', 0.005041527445913338)","('leistung', 0.004890319507944149)","('rahm', 0.004857687174514813)","('dienststell', 0.0047103822774175325)","('anteil', 0.004669213816163308)","('investition', 0.004637158418846855)","('verrechn', 0.004600329183634098)","('wert', 0.004371306944583797)","('verrechnet', 0.004182639252042089)","('folgend', 0.0038924031856843438)"
8,"('archiv', 0.006872331599254694)","('bestaend', 0.0061657035041095334)","('naturschutz', 0.005749382492261768)","('natur', 0.005532387769979021)","('wald', 0.005441433329471292)","('bibliothek', 0.005265305952832251)","('vermess', 0.004977610220335116)","('arbeit', 0.00463208029168905)","('wissenschaft', 0.004569886148072054)","('oesterreich', 0.004565251470296587)","('flaech', 0.004287481629091237)","('dokumentation', 0.004273334622920289)","('stadt', 0.004239551751114501)","('plan', 0.004206969225401963)","('bestand', 0.00396925453077771)","('stadtkart', 0.0039463517734195834)","('umfangreich', 0.003936302715796915)","('erfass', 0.003638382431694925)","('tiergart', 0.0035425791042714865)","('gesamt', 0.0034664615350981703)"
9,"('fahrzeug', 0.011863808696565923)","('abfall', 0.008652649502283104)","('abfallwirtschaft', 0.006686830711423187)","('deponi', 0.006201464983993623)","('einsatz', 0.006125428933565811)","('gefaehr', 0.005532932655020687)","('gerat', 0.0054597625734420265)","('fuhrpark', 0.004971930519547951)","('einsaetz', 0.004896237617458553)","('eingesetzt', 0.0048743176659722266)","('strassenrein', 0.004788216992178629)","('feuerwehr', 0.004521605254165762)","('entsorg', 0.004280987339764679)","('uhr', 0.004099279590561238)","('durchgefuehrt', 0.004021307633552829)","('kraftfahrzeug', 0.003824031606843551)","('betrieb', 0.00354066529091523)","('mobil', 0.0035344971203567694)","('umweltschutzabteil', 0.0034994779906951635)","('abteil', 0.003411948198175531)"
