Topic Number for time period 0,"Word, Probability"
0,"('anstalt', 0.013583601496139925)","('krankenhaus', 0.013541558143689403)","('krankenanstalt', 0.013215545236894964)","('lainz', 0.010645638769937751)","('patienten', 0.007924609628133721)","('betten', 0.006759520693598698)","('medizinischen', 0.006576998911756404)","('allgemeinen', 0.00642451163825506)","('pavillon', 0.006272123991696556)","('abteilung', 0.006269822421682455)","('krankenhauses', 0.006075414385437454)","('wilhelminenspital', 0.005663134378634174)","('pavillons', 0.005397042446065411)","('psychiatrischen', 0.00508039417113099)","('pflegeheim', 0.005073787201099084)","('pflege', 0.004707645071350846)","('kinder', 0.004631935630264836)","('baumgartner', 0.004596343671043417)","('rudolfstiftung', 0.004594531944410824)","('zentrum', 0.004505237015440927)"
1,"('staedtischen', 0.008368598636240598)","('bediensteten', 0.006196419490114973)","('unterricht', 0.005435166123414675)","('schueler', 0.005358826726374388)","('bezuge', 0.005354061680241048)","('schulen', 0.00531970950259205)","('volksschulen', 0.005293061936187656)","('staedtische', 0.005215479403147307)","('beamten', 0.005174571154983764)","('gemeinde', 0.00510976179361027)","('lehrer', 0.004363685126142079)","('beschluss', 0.004343828148229742)","('klassen', 0.004333355839989615)","('dienst', 0.004176518398855488)","('dezember', 0.004047280043694636)","('stadt', 0.003943065937141115)","('bedienstete', 0.0037317668826149703)","('volks', 0.0036670236173202957)","('schuljahr', 0.0034264595915870577)","('gemeinderatsbeschluss', 0.003423738145531402)"
2,"('bestimmungen', 0.007074282054862638)","('verordnung', 0.006453339421664848)","('gesetz', 0.00514241822032283)","('geaendert', 0.004973581448603622)","('betreffend', 0.0046908456720896555)","('bgbl', 0.004606674214417108)","('dezember', 0.004374174111607449)","('gesetzes', 0.004362565246588511)","('wiener', 0.003971915423539801)","('grund', 0.0038551886990339382)","('aenderung', 0.0035971464535562644)","('november', 0.0034340230386518747)","('novelle', 0.0033855131933174356)","('vorschriften', 0.00332567501752838)","('kraft', 0.003215245221726416)","('oktober', 0.003191597559903318)","('erlassen', 0.0029595573840557727)","('lgb', 0.0029332185335151713)","('entscheidung', 0.00293051202719941)","('regelung', 0.0028429464516694395)"
3,"('wohnungen', 0.018447016990179085)","('staedtischen', 0.013780828660354898)","('wohnhausanlagen', 0.008755933758121358)","('gebaeude', 0.008661683243915004)","('objekte', 0.008493307012660326)","('gebaeuden', 0.008399661876596964)","('schulen', 0.007853662058906334)","('strasse', 0.007804880481605781)","('staedtische', 0.007404934125271424)","('objekten', 0.007100340149114425)","('hauser', 0.007075598663795135)","('neubauten', 0.006676586010598006)","('stadt', 0.006474779468044791)","('errichtung', 0.006411981837565306)","('mieter', 0.0057960416705611735)","('wohnhausanlage', 0.00563449256883288)","('bau', 0.00544418019195038)","('kindergarten', 0.005395237861063661)","('wohnhauser', 0.005239280947253669)","('wohnhausern', 0.005101782268553885)"
4,"('fallen', 0.011921156809243473)","('jahre', 0.009562103474058878)","('antraege', 0.008008883341787988)","('erledigt', 0.006942604404270765)","('zahl', 0.0069247651932594695)","('falle', 0.0068861508101059985)","('magistratischen', 0.0060434841173889016)","('wegen', 0.005696560876050177)","('mussten', 0.005201659067476392)","('geschaeftsstuecke', 0.004929201040649683)","('ansuchen', 0.004853534481861748)","('dezember', 0.004664547736349546)","('eingebracht', 0.004129275606362159)","('denen', 0.004025785693982387)","('abteilung', 0.003964942505271932)","('grund', 0.0039598103221808794)","('konnten', 0.0037524099190914878)","('gewaehr', 0.003680394201670143)","('bezirksamtern', 0.0035834956336844026)","('ausserdem', 0.003531635595314459)"
5,"('begonnen', 0.008599669191908339)","('durchgefuehrt', 0.00718244970143012)","('arbeiten', 0.006998957514818631)","('fertiggestellt', 0.006370475744937964)","('konnte', 0.005812439288657361)","('erricht', 0.005680659457652232)","('bereich', 0.005273185030716893)","('neue', 0.005270112926886828)","('fortgesetzt', 0.005267878476134535)","('weiters', 0.0052554433938902904)","('abgeschlossen', 0.004847618499999643)","('konnten', 0.004712345582150627)","('neuen', 0.004658356928552313)","('jahre', 0.004558928898322565)","('zuge', 0.004549560349517815)","('rund', 0.004289566928360449)","('erneuert', 0.004167884775163178)","('hergestellt', 0.004095137655006808)","('genommen', 0.004054648900359107)","('errichtung', 0.004043386314593967)"
6,"('feuerwehr', 0.01866420687646715)","('sonstige', 0.012025473169405856)","('todesursachen', 0.010508758120151937)","('brand', 0.01018034736870157)","('gestorbene', 0.009766040170110821)","('krankheiten', 0.009473576644052925)","('uhr', 0.007457679271764114)","('unfalle', 0.006801850834099819)","('mann', 0.0065591214568652195)","('feuer', 0.006298464320626651)","('sonstigen', 0.005735191401774412)","('geloescht', 0.005734386533159384)","('stunden', 0.005695107408241704)","('feuerwehren', 0.005488352624219483)","('verletzungen', 0.005480337354814217)","('freiwilligen', 0.0054185787747183245)","('verzeichnisses', 0.00541256698885318)","('ausfuehrlichen', 0.005180256828984375)","('liste', 0.004901144623877975)","('flammen', 0.004798760002403868)"
7,"('betrag', 0.008836265295718555)","('einnahmen', 0.008526346128189106)","('jahre', 0.008427753753951288)","('ausgaben', 0.007941197955787004)","('gemeinde', 0.007500005779945225)","('ende', 0.005800112146088474)","('betrage', 0.005737636770977393)","('kosten', 0.005128581607316409)","('betrugen', 0.005040290639038366)","('hoehe', 0.004843477681348943)","('jahres', 0.0048166872106615325)","('summe', 0.004267671242688231)","('wiener', 0.004061804071936298)","('dezember', 0.0039038017943723957)","('gegenueber', 0.0038172241517971015)","('staedtischen', 0.003778144600765062)","('beitrage', 0.003473522901931878)","('eigenen', 0.0034517157723710375)","('stiftungen', 0.003322713704289942)","('deren', 0.0033078717259164363)"
8,"('kinder', 0.005915917565460544)","('kindern', 0.00462185826112469)","('wiener', 0.004110852583425765)","('stadt', 0.003572284647894047)","('eltern', 0.0033992365074028905)","('jugendliche', 0.0033845787312497453)","('konnten', 0.0033621843265680684)","('jahre', 0.0032022286114817473)","('jugendlichen', 0.003200137286005585)","('betreuung', 0.003172830851930096)","('koennen', 0.0030136371849157862)","('verfuegung', 0.002944520620913835)","('durchgefuehrt', 0.0028882492619859384)","('arbeit', 0.0028615551962176467)","('nahmen', 0.0027969520273934114)","('zahl', 0.0027949692564716105)","('rahmen', 0.0027877742640380256)","('denen', 0.0026851270941806674)","('prozent', 0.002531665001224687)","('konnte', 0.0024539531346189363)"
9,"('baupolizei', 0.0106375399293657)","('bau', 0.010424208162020923)","('liegenschaften', 0.010141876920196169)","('bauvorhaben', 0.009236616740091318)","('jahre', 0.007761015104494433)","('bauordnung', 0.0075815566444067594)","('fallen', 0.007540498906165005)","('staedtischen', 0.007533781134191006)","('ferner', 0.007142473325597409)","('stadt', 0.007048830656652481)","('bauten', 0.006812999146828145)","('gutachten', 0.006740359890437721)","('grundflaechen', 0.006482444562277044)","('bautaetigkeit', 0.006103264462183925)","('erteilt', 0.00607844687808304)","('errichtung', 0.005726724195954256)","('technische', 0.005605199256712944)","('herstellung', 0.005564334767198626)","('staedtische', 0.005300428202882984)","('grundstuecke', 0.005212936867524518)"
