,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.02118819,0.030738425,0.03629164,0.029625827,0.02209599,0.020851891,0.022553364,0.07301176,0.07585188,0.026089018,0.025626993,0.046037603,0.03833799
1,0.04568448,0.038896892,0.052812047,0.04464794,0.025894465,0.0200945,0.024333352,0.069821365,0.08113129,0.022855002,0.030164776,0.050891913,0.031207455
2,0.011879276,0.025750214,0.06284664,0.07404477,0.034055986,0.020962367,0.03125077,0.096555896,0.1320783,0.054191396,0.058183454,0.09967108,0.05214816
3,0.058208536,0.055284116,0.04681999,0.05084588,0.022146307,0.013882071,0.027836291,0.08094153,0.065921634,0.023228692,0.038185086,0.060966954,0.0692374
4,0.02482475,0.02831376,0.05392513,0.09492515,0.03299909,0.024947863,0.044206463,0.13170709,0.108900815,0.02662704,0.024590613,0.0709155,0.053196013
5,0.029104222,0.030784586,0.040000074,0.04091023,0.02649404,0.024838185,0.026447993,0.05987469,0.056607086,0.021679297,0.019665342,0.04487076,0.029672384
6,0.017162478,0.038499996,0.07896707,0.11693247,0.020243794,0.016396666,0.03790802,0.1703885,0.09155271,0.033213813,0.022560704,0.045312133,0.045140985
7,0.10411865,0.029207462,0.049746115,0.052443467,0.026269013,0.022927891,0.03796084,0.10320311,0.11341683,0.037608065,0.047663804,0.07777768,0.059030797
8,0.021427464,0.024867782,0.039563205,0.04436329,0.023707151,0.021835355,0.04389665,0.080639645,0.052964278,0.02615683,0.07704637,0.03779822,0.076247014
9,0.032255583,0.0611954,0.06346361,0.050348524,0.025650263,0.022275938,0.032074366,0.08738953,0.085874826,0.03213877,0.035250388,0.048802286,0.039632417
10,0.060828168,0.044859413,0.10555947,0.06540231,0.018453062,0.017856369,0.03172497,0.10323632,0.084842026,0.032985978,0.0378122,0.05987718,0.037997674
11,0.019786846,0.030222507,0.046494488,0.07851327,0.031044418,0.024720948,0.04630744,0.12446045,0.07557012,0.0503764,0.047905583,0.06722386,0.07163499
12,0.03210897,0.03808808,0.046129763,0.03371167,0.026055193,0.02774921,0.03838163,0.12528987,0.10101032,0.029473517,0.031068282,0.06326286,0.040198557
13,0.03520624,0.0459323,0.05900946,0.051655658,0.023777341,0.024216475,0.035641998,0.11122356,0.09080944,0.023775537,0.03522354,0.04965242,0.029695477
14,0.025552262,0.032852616,0.067694776,0.05391666,0.028738813,0.023483112,0.029199436,0.08025314,0.04428547,0.033645835,0.03527933,0.067012735,0.06386576
15,0.023903133,0.028273143,0.06845542,0.119118266,0.03149283,0.01864702,0.034327842,0.08735722,0.05605006,0.025243912,0.027635654,0.047888424,0.05504492
16,0.024091408,0.029981358,0.046601497,0.053111963,0.024820432,0.016860608,0.027490182,0.062070582,0.07754706,0.029072693,0.029035887,0.05785747,0.043399587
17,0.017068919,0.030670375,0.03598891,0.041437842,0.02465683,0.025027286,0.02659382,0.060689542,0.048928615,0.03513301,0.031134676,0.057796486,0.035013396
18,0.049113903,0.048969105,0.09193666,0.1059508,0.038169615,0.023575969,0.031598892,0.12927334,0.10038702,0.047371864,0.035026208,0.09233403,0.0844142
19,0.025299974,0.032334603,0.046981655,0.038147688,0.025925657,0.022476556,0.035214253,0.104911394,0.05129337,0.033431496,0.040100366,0.052894074,0.04513897
20,0.020579379,0.06596211,0.07310554,0.040547043,0.022630122,0.024330217,0.033758808,0.06509432,0.065166235,0.025360921,0.049607426,0.057774276,0.0176835
21,0.035617378,0.04377288,0.074870326,0.099279456,0.045806028,0.0307474,0.041084383,0.1349212,0.16398464,0.0470891,0.03697809,0.06438576,0.090840176
22,0.05615265,0.051029265,0.06443379,0.053354047,0.03206854,0.025552431,0.030826144,0.089290656,0.1094257,0.036634434,0.035797868,0.0567384,0.06385714
23,0.06755467,0.06269881,0.063231334,0.08915648,0.05368934,0.03218339,0.028704291,0.08120829,0.09370358,0.05717345,0.05871532,0.14234477,0.060547516
24,0.023440124,0.03978026,0.06273956,0.07060938,0.031614956,0.027403524,0.045900043,0.12143678,0.094122276,0.034078855,0.03107293,0.065159716,0.049100384
25,0.016257068,0.029960549,0.04510313,0.060344614,0.020422919,0.015706511,0.038151782,0.087570064,0.07168134,0.027697744,0.029812638,0.027746389,0.027788328
26,0.031504292,0.051275145,0.07282925,0.108024955,0.043019842,0.022389583,0.036548,0.124221295,0.1824897,0.050397318,0.026928587,0.07391693,0.043007914
27,0.031059625,0.023685813,0.041808903,0.038078126,0.026629599,0.025192592,0.03319851,0.062089622,0.06745424,0.032235675,0.033325724,0.048248768,0.029519018
28,0.026886722,0.031149652,0.038979985,0.035521172,0.023919325,0.022041783,0.030137397,0.10167129,0.14183523,0.034571428,0.030379644,0.03798414,0.035056863
29,0.021378106,0.042421173,0.039083313,0.050809946,0.027951421,0.022855991,0.028919762,0.070087306,0.06043525,0.045490745,0.05578073,0.09274163,0.053223982
30,0.011993969,0.024087392,0.031374868,0.046252485,0.01993939,0.017287645,0.02864431,0.06725384,0.05557113,0.02941094,0.027947646,0.055329666,0.040677432
31,0.03008,0.031353366,0.06563995,0.11960242,0.03360798,0.02229422,0.06251163,0.16586454,0.12137244,0.033561856,0.03119494,0.067518055,0.04873138
