,0,1,2,3,4,5,6,7,8
0,0.0011240747,0.0066909944,0.0034096634,0.0024741117,0.0037078594,0.007370787,0.0060341638,0.0076413434,0.03551624
1,0.0028032816,0.0062209363,0.003667619,0.003026955,0.0033245035,0.004695862,0.0066991556,0.005572168,0.0015584423
2,0.0009496214,0.0015471503,0.0011528985,0.0011230926,0.0013376789,0.0021462229,0.0014837276,0.00083013385,0.00034225837
3,0.005593822,0.0061987177,0.0042256457,0.004286096,0.005671344,0.008164853,0.009354939,0.0052279765,0.0029113104
4,0.00319431,0.006511876,0.0044054925,0.0042267884,0.009656852,0.025893724,0.026160728,0.0134894755,0.0064596953
5,0.006030591,0.00917171,0.0060587516,0.005191135,0.0055523734,0.008259332,0.012128441,0.0058789267,0.003474677
6,0.0018036676,0.004323459,0.0049048783,0.0040073628,0.0070389393,0.024823317,0.027181325,0.01496953,0.006880271
7,0.009537125,0.011138158,0.0065533356,0.00486722,0.0038634841,0.003939725,0.0038096765,0.0024483704,0.0010910495
8,0.0035851619,0.0043754624,0.0033663122,0.00273166,0.004119688,0.006171397,0.0049451594,0.0029674158,0.0014239018
9,0.0029291045,0.0033843492,0.0021832387,0.002885381,0.0048828046,0.0076153497,0.005632334,0.0026032499,0.0014524948
10,0.0038956737,0.01093745,0.0053310073,0.004295615,0.0074090334,0.014594574,0.012607134,0.007656317,0.0035629037
11,0.0021183265,0.004759895,0.0030440222,0.003152499,0.004063604,0.007611064,0.008536832,0.005385516,0.0009989198
12,0.0066291397,0.006930398,0.0042619444,0.0034765578,0.003446031,0.0047105034,0.005101989,0.0035072095,0.0023284985
13,0.003343197,0.010361863,0.004316575,0.003046512,0.0045741717,0.013323576,0.016385926,0.008061703,0.0035818191
14,0.0014066815,0.0034827893,0.0037462302,0.0039023631,0.004519686,0.0067549506,0.0119489115,0.010982347,0.010081225
15,0.0038070565,0.0058553806,0.003287494,0.0025283122,0.0030204256,0.004091432,0.003952813,0.0027862403,0.0010548078
16,0.0034813953,0.007060159,0.0040926896,0.0036797114,0.00557685,0.0120421145,0.018877652,0.012586319,0.014591009
17,0.0035112896,0.011539544,0.004779141,0.0017822223,0.0033718192,0.013896662,0.012523511,0.011520647,0.0033536176
18,0.009002428,0.01851506,0.008777336,0.0048724725,0.0071418313,0.010485938,0.008483216,0.005306947,0.0027718537
19,0.007189769,0.008249281,0.0049645724,0.0042526624,0.0041158358,0.0049081906,0.0050111273,0.003398459,0.003277197
20,0.0011169672,0.0023028145,0.0021025147,0.0026323458,0.003570959,0.007246107,0.0043352377,0.004409765,0.001097089
21,0.00048135812,0.003114639,0.001976908,0.0015297387,0.0030416837,0.006373263,0.004419694,0.0033129212,0.0018206942
22,0.00541947,0.0068602306,0.003440139,0.003298538,0.004903704,0.008278929,0.0066176276,0.003610118,0.0017222903
23,0.0068114144,0.01540717,0.004014944,0.0029604447,0.006401169,0.021501025,0.016405718,0.0058048386,0.0030777573
24,0.00079600327,0.002258016,0.00348972,0.0059879227,0.012322504,0.028171798,0.024888765,0.018451296,0.011981417
25,0.0013939366,0.0030778048,0.002912096,0.0028486208,0.005025105,0.008599236,0.012324018,0.007286037,0.0047091926
26,0.0009373946,0.003931179,0.0021017673,0.0021738375,0.0032328018,0.0077147903,0.008217895,0.007160034,0.0028177619
27,0.009797405,0.011391636,0.0063366815,0.0047014416,0.0043027336,0.005279151,0.0065427413,0.0038448882,0.002300047
28,0.0025520588,0.0036132177,0.0027326318,0.0028006963,0.0034827758,0.0052409605,0.0073152124,0.0051601077,0.0036900868
29,0.0018078423,0.0060562743,0.004217978,0.0016032747,0.0033839582,0.010469926,0.007144393,0.0052761543,0.003460303
30,0.0007584888,0.0025923164,0.0016372597,0.0016281283,0.003822458,0.010817275,0.007839447,0.0025940787,0.0006555797
31,0.0026681982,0.0027231518,0.0019528411,0.0016713563,0.0023320448,0.0044739903,0.004129345,0.002542088,0.0011688267
