Topic Number for time period 0,"Word, Probability"
0,"('gewerb', 0.0338876909905182)","('erzeug', 0.016342327178810075)","('zahl', 0.014674478606371935)","('industri', 0.01267810196973067)","('handel', 0.011298781567981349)","('zuschlaeg', 0.01051434348605675)","('erwerbsteu', 0.01044977381573894)","('baeck', 0.007721885295571519)","('tischl', 0.007340325405067989)","('maschin', 0.006172594306406702)","('haendl', 0.006020368447617964)","('chemisch', 0.005633384617830198)","('grupp', 0.005542999298190672)","('schloss', 0.005336142024734801)","('zuckerbaeck', 0.005256803405211488)","('gold', 0.005244051034840186)","('drechsl', 0.005189529749604868)","('schuhmach', 0.005101173403256261)","('arbeit', 0.005019612152651764)","('led', 0.004706140252241221)"
1,"('ungarn', 0.033817410068433154)","('ungar', 0.0302265916228664)","('boehm', 0.024746481122645145)","('niederoesterreich', 0.02264497451663857)","('laend', 0.02133406757586707)","('maehr', 0.018781859201202046)","('ausland', 0.018771046718902878)","('oesterreich', 0.018042518112165)","('galizi', 0.01626098999306466)","('oberoesterreich', 0.014357452340266138)","('steiermark', 0.013937176302922648)","('salzburg', 0.013308755106791085)","('tirol', 0.012678292636805037)","('ausweis', 0.012116221049822245)","('inlaend', 0.01142371432175803)","('schlesi', 0.009663485741027503)","('kaernt', 0.007579150957719738)","('vorarlberg', 0.007468298715459535)","('kronlaend', 0.007116862705057092)","('bukowina', 0.006754084177078953)"
2,"('evangel', 0.030765730892999343)","('zentralfriedhof', 0.02963025854799183)","('kirch', 0.027898006882993792)","('friedhof', 0.027795294377578342)","('leich', 0.02236831137559649)","('israelit', 0.02230292370872939)","('kathol', 0.021460668624686933)","('graeb', 0.018055082618383195)","('beerdig', 0.014368616351968613)","('grueft', 0.01374153006208279)","('verstorb', 0.010126117846995035)","('konfession', 0.009963467348473748)","('pfarr', 0.00961081687407324)","('eheschliess', 0.008634385209800676)","('mosaisch', 0.008286803692130622)","('grab', 0.007683414992875204)","('gemeinsam', 0.00761366438772906)","('konfessionslos', 0.00759406857060816)","('seelsorg', 0.0070765608490566895)","('kultus', 0.006500069039569501)"
3,"('herstell', 0.01422176840249786)","('arbeit', 0.011876142491067066)","('hergestellt', 0.010655738794825299)","('vollendet', 0.010213237364954757)","('ausgefuehrt', 0.009697899227481543)","('bau', 0.009331221055892094)","('begonn', 0.008520546335248657)","('gebaeud', 0.0077650201472982214)","('kost', 0.007710897741464873)","('betrag', 0.007442751903918383)","('raum', 0.007213674805702985)","('aufstell', 0.00675552932718378)","('klein', 0.006458581889927373)","('einricht', 0.006204640985739928)","('genomm', 0.006115152005405882)","('verseh', 0.006068678466301744)","('kostenbetrag', 0.006028804484408863)","('anlag', 0.005294170370770948)","('benuetz', 0.005085391981418538)","('vorgenomm', 0.005076689673183681)"
4,"('wag', 0.033112643191167614)","('betrieb', 0.02297397467707124)","('pferd', 0.01572105820129174)","('elektr', 0.015150704294877545)","('uhr', 0.015023116588428798)","('lini', 0.010691918195660928)","('verkehr', 0.009214650341482581)","('zahl', 0.007350413763989886)","('apparat', 0.007096570600584768)","('stueck', 0.006885910040155223)","('fuhrwerk', 0.0067184558965595565)","('minut', 0.0065356994522262546)","('verwend', 0.006220032234308433)","('befoerdert', 0.00581179963306704)","('unternehm', 0.005780127530373015)","('fahrt', 0.005748524793962022)","('stand', 0.005015044756806366)","('strass', 0.004862837925323436)","('aufstell', 0.0047187028075870744)","('elektrizitaetswerk', 0.004486866718746278)"
5,"('schul', 0.030595662833974212)","('volksschul', 0.019143852507616514)","('unterricht', 0.01779275576754231)","('lehr', 0.017664957478512603)","('maedch', 0.015912236616921722)","('buergerschul', 0.015296268503336293)","('schuljahr', 0.014094337873351138)","('schuel', 0.013946592783066479)","('knab', 0.0135400995689498)","('klass', 0.011355699210789922)","('zahl', 0.010335564298047856)","('volk', 0.009698248094119191)","('mittelschul', 0.007897726433320979)","('kind', 0.006782645713266646)","('schulgebaeud', 0.006049032718428212)","('anstalt', 0.004697220728091986)","('lehrzimm', 0.004559880721268951)","('lehranstalt', 0.004536279774048709)","('lehrkraeft', 0.00442951719984271)","('besuch', 0.004325128851424601)"
6,"('wahl', 0.012764160526906206)","('gewaehlt', 0.008736441875416041)","('mitglied', 0.008377026248861432)","('herr', 0.007898550868200021)","('buerg', 0.007348037251199508)","('heinrich', 0.006978399818113202)","('bezirksausschuss', 0.00653914494046256)","('ferdinand', 0.005926306801713139)","('buergermeist', 0.005776203389865152)","('ritt', 0.004907549208929626)","('friedrich', 0.004899820581538404)","('wilhelm', 0.004838187184546405)","('georg', 0.004814752060228131)","('ludwig', 0.0045863543802717194)","('stadt', 0.004421160295479227)","('alois', 0.004413166449104999)","('rat', 0.0043807428050760214)","('direktor', 0.004364646770472106)","('hof', 0.004327803178341152)","('vorgenomm', 0.004298696335912889)"
7,"('strass', 0.03375821312368442)","('pflaster', 0.032553974302521126)","('trottoir', 0.020154822947358212)","('fahrbahn', 0.01927479308340994)","('gepflastert', 0.01795056315188498)","('bespritz', 0.016295454201289368)","('flaech', 0.013442911570685088)","('pflast', 0.012265928808862842)","('stein', 0.01107618224987666)","('quadratmet', 0.010397893798083912)","('saeuber', 0.010134990227487355)","('erhalt', 0.009427084322777435)","('neupflaster', 0.007992150423901582)","('material', 0.007895095091045147)","('umpflaster', 0.007877310645316625)","('has', 0.006973072539868172)","('steinbruech', 0.006113652221348916)","('gehweg', 0.005891296767480746)","('strassenbespritz', 0.005611409365070137)","('strassensaeuber', 0.0055792053632874)"
8,"('waisenhaus', 0.03348832494361429)","('arm', 0.0262717307039287)","('kind', 0.02398748102019564)","('verpfleg', 0.023773759046408414)","('anstalt', 0.0223835645058633)","('spital', 0.020084485354429048)","('krank', 0.01280359884584888)","('pfleg', 0.012603718131470407)","('knab', 0.011038423776551216)","('krankenhaus', 0.010970181279681163)","('maedch', 0.01042926161914648)","('verein', 0.009760551571950785)","('unterbring', 0.009363509030142093)","('krankenanstalt', 0.008353755665735098)","('unterstuetz', 0.008139166006185094)","('spend', 0.008089249662089494)","('untergebracht', 0.007839212852957085)","('armenkinderpfleg', 0.007801501957715556)","('zoegling', 0.007547524901414553)","('erricht', 0.007418654493151917)"
9,"('streck', 0.010994908227917691)","('brueck', 0.010283638375406494)","('bau', 0.01024004803062857)","('projekt', 0.009133973253450039)","('donaukanal', 0.008803690579406487)","('herstell', 0.008764789316377192)","('bahn', 0.0075014930838146095)","('eisenbahn', 0.007452840139225504)","('strass', 0.006666492544357128)","('verkehr', 0.006482554657065208)","('verkehrsmittel', 0.005747497493865293)","('breit', 0.005559877128569551)","('verkehrsweg', 0.005481403815778142)","('anlag', 0.005396210254994458)","('met', 0.005326845425775915)","('link', 0.005224814687422108)","('donau', 0.005087078943167037)","('ufer', 0.005072363461615051)","('gesellschaft', 0.004936270681367668)","('lini', 0.00468068774832065)"
