Topic Number for time period 0,"Word, Probability"
0,"('grund', 0.008381382589934849)","('erford', 0.007433248655784058)","('verfahr', 0.005101250137737535)","('bezug', 0.005096411596920983)","('jeweil', 0.005005836619558522)","('betroff', 0.004279826705580638)","('behoerd', 0.004115558739474037)","('betreff', 0.003977251021992538)","('zustand', 0.0037850057984668427)","('beschwerd', 0.0037023110565936527)","('erteilt', 0.003684255144696494)","('genehm', 0.0035761049178699576)","('diesbezug', 0.003547723889603775)","('etwa', 0.003467763018741299)","('interess', 0.003460853127850231)","('festgestellt', 0.0032806284292895447)","('gestellt', 0.003244846953233593)","('dadurch', 0.003186961677441969)","('zug', 0.00302522574491873)","('gesetz', 0.003021375169808048)"
1,"('veranstalt', 0.006537042525653612)","('projekt', 0.005602222054959062)","('rahm', 0.0054892167882932144)","('stadt', 0.0053768560125779415)","('information', 0.004898450723585585)","('thema', 0.004531799944213586)","('statt', 0.004403974200755907)","('angebot', 0.0043491919555226285)","('fand', 0.004242184429594847)","('rund', 0.003990127134691521)","('aktivitaet', 0.00373640370509239)","('schwerpunkt', 0.003508620725063332)","('mitarbeiterin', 0.003499833156308787)","('zusammenarbeit', 0.003437516830855159)","('international', 0.003434236137662011)","('them', 0.0033711137751530327)","('zahlreich', 0.003350505146337958)","('bereich', 0.0033070423661609)","('gemeinsam', 0.003236518239778649)","('veranstaltet', 0.0030568279620505506)"
2,"('sport', 0.008613804345597822)","('sportanlag', 0.006709781669118884)","('subvention', 0.006326512059089755)","('sportplatz', 0.006309799251851032)","('sporthall', 0.0059673003229682685)","('verein', 0.005585260983655049)","('durchfuehr', 0.005564901829379696)","('erricht', 0.005376659303647208)","('jugendspielplatz', 0.0052967301783652535)","('jugend', 0.005236985924147569)","('turn', 0.004837529057170734)","('schnee', 0.0047053377583555975)","('verwaltet', 0.004605243588049229)","('sportstaett', 0.004341673078698391)","('fachverba', 0.004312278015174783)","('sportamt', 0.004297129638238992)","('betrieb', 0.0041448447408663994)","('donauinsel', 0.004140610327927751)","('wochen', 0.004106227358944886)","('ball', 0.004056129175963298)"
3,"('foto', 0.03869396504064665)","('pid', 0.023662776989583283)","('votava', 0.020228532244703962)","('museum', 0.015702301152115867)","('histor', 0.015557394419663929)","('muse', 0.0107249374287436)","('stadt', 0.01068210865478961)","('ausstell', 0.00884792166411923)","('eroeffn', 0.007543723472118371)","('jahrhundert', 0.006623973733726263)","('roemisch', 0.006610622078353383)","('sammlung', 0.006345429369144142)","('schloss', 0.0056410210290052205)","('landesbildstell', 0.005285002868763985)","('hermesvilla', 0.005200216696369965)","('leihgab', 0.0050056089573096065)","('ausgrab', 0.0049786052013717184)","('bild', 0.004809899660689503)","('archaeolog', 0.004781867238567775)","('juedisch', 0.004634543893065325)"
4,"('maerkt', 0.01654398276836195)","('grossmarkt', 0.013192466923245563)","('verwaltungsdien', 0.01235888074513808)","('marktamt', 0.011416768818759897)","('wieninzersdorf', 0.010571339361800082)","('technisch', 0.010421631415230094)","('marktordn', 0.009768316141236605)","('markt', 0.008658670221618835)","('dienststell', 0.008463578198002001)","('obst', 0.007455000173654556)","('bedienstet', 0.007059425286872664)","('lehrling', 0.006551727522422654)","('kanzleibedienstet', 0.0065073989539047115)","('gelegenheitsmaerkt', 0.00646203460272873)","('bertret', 0.006428099894222782)","('fachbedienstet', 0.006225850727928077)","('christbaum', 0.0055512124504456)","('gerat', 0.005455890020374919)","('verkehr', 0.0054401880857530265)","('zufuhr', 0.00521831732454316)"
5,"('ziel', 0.006019424371840163)","('wichtig', 0.005289682145104591)","('entwickl', 0.00459793774648237)","('ergebnis', 0.0037990364315668426)","('bereich', 0.0036459052574687218)","('erhalt', 0.003532480607518418)","('unterschied', 0.0034635632984054113)","('wenig', 0.003431480835239327)","('deutlich', 0.0032164138320188236)","('zeigt', 0.0031189159110096972)","('hoh', 0.003019514928825508)","('bedeut', 0.002976958285229692)","('gibt', 0.0029711518240395965)","('erfahr', 0.0029583473669609326)","('positiv', 0.002912890488672792)","('gering', 0.002902457863408686)","('stellt', 0.002851365895763541)","('prozent', 0.0028144912140704204)","('verstaerkt', 0.0027008287595787464)","('verbesser', 0.002691297725823253)"
6,"('produkt', 0.010528090758206836)","('preis', 0.008204737584243305)","('versorg', 0.0070126487911927006)","('zentrallag', 0.006957297847791605)","('stueck', 0.006315401781411147)","('quellenschutzforst', 0.005987564472812299)","('lebensmittel', 0.005927952464495552)","('meng', 0.005913944711332728)","('warengrupp', 0.0058651537409782715)","('moebel', 0.005846071957514716)","('versorgt', 0.005382879154765999)","('werkstaettenbetrieb', 0.005196238488267007)","('wein', 0.005000580558460376)","('gegensta', 0.004985624918515215)","('holz', 0.0049463550393960025)","('gemues', 0.004803788083636851)","('wienerwaldforst', 0.00466115178868166)","('landwirtschaftsbetrieb', 0.004563373487329407)","('wert', 0.004439488561663398)","('tischlerei', 0.004381259313630332)"
7,"('mio', 0.017150074296724292)","('ats', 0.012036358081772792)","('rund', 0.01016246220394462)","('ausgab', 0.00971074955314339)","('einnahm', 0.009645197203156992)","('hoeh', 0.008735958277632431)","('prozent', 0.007910433616691548)","('million', 0.007745202992885878)","('eur', 0.006478582402828824)","('schilling', 0.006353193572742962)","('betrag', 0.0055255535213815455)","('rahm', 0.0053447419533904535)","('leistung', 0.005069738787033316)","('stadtwerk', 0.005035596568207084)","('anteil', 0.0050322144967842345)","('dienststell', 0.004945065886580506)","('ausgegeb', 0.004790048931271432)","('verrechnet', 0.004477585248537547)","('investition', 0.004468366356210031)","('verrechn', 0.004300098581853794)"
8,"('archiv', 0.007139081734847016)","('naturschutz', 0.006597920169051687)","('bestaend', 0.006415381749612261)","('natur', 0.006172736939502733)","('bibliothek', 0.005671683665867832)","('vermess', 0.005115233444967034)","('wissenschaft', 0.005022577294766807)","('wald', 0.004991155993426974)","('arbeit', 0.004868352230889522)","('dokumentation', 0.004826987824132206)","('oesterreich', 0.004609609839432054)","('bestand', 0.00418894852570772)","('erfass', 0.004186300862023546)","('flaech', 0.004153352709524817)","('umfangreich', 0.004101497568148796)","('plan', 0.003907932340488164)","('erfasst', 0.003749030096500413)","('tiergart', 0.0037358901293285214)","('lag', 0.0036667785340196313)","('lainz', 0.0036443879119844435)"
9,"('fahrzeug', 0.011445581385952957)","('abfall', 0.010439429250283166)","('abfallwirtschaft', 0.008851080563377852)","('deponi', 0.006592085755480615)","('einsatz', 0.00580096243170712)","('gefaehr', 0.0055995336877160354)","('umweltschutzabteil', 0.005378186979994459)","('entsorg', 0.005124074817083157)","('fuhrpark', 0.005095204467730339)","('strassenrein', 0.005060922214218221)","('gerat', 0.00504978648208822)","('durchgefuehrt', 0.004533977862856787)","('eingesetzt', 0.004531946867175817)","('einsaetz', 0.004436140804622596)","('abteil', 0.0043105792777271106)","('feuerwehr', 0.004262901743924359)","('schadstoff', 0.0039005335347244274)","('uhr', 0.003839985901617129)","('zentral', 0.0037605503043600334)","('mobil', 0.0037055171091912214)"
